acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-89.792,456.768,620.736
-101.504,452.864,601.216
-78.080,468.480,605.120
-113.216,441.152,612.928
-109.312,448.960,569.984
-93.696,445.056,601.216
-101.504,448.960,597.312
-117.120,421.632,593.408
-117.120,452.864,581.696
-109.312,445.056,577.792
-74.176,437.248,569.984
-97.600,425.536,554.368
-93.696,433.344,569.984
-101.504,429.440,581.696
-85.888,429.440,538.752
-74.176,433.344,573.888
-85.888,413.824,577.792
-85.888,433.344,562.176
-105.408,429.440,577.792
-81.984,413.824,569.984
-93.696,409.920,589.504
-109.312,425.536,569.984
-105.408,406.016,589.504
-117.120,421.632,573.888
-101.504,429.440,597.312
-105.408,409.920,581.696
-85.888,402.112,589.504
-117.120,417.728,569.984
-97.600,402.112,581.696
-81.984,421.632,593.408
-93.696,390.400,601.216
-89.792,406.016,597.312
-105.408,386.496,585.600
-109.312,382.592,605.120
-89.792,429.440,616.832
-97.600,425.536,620.736
-105.408,406.016,616.832
-101.504,417.728,616.832
-109.312,417.728,605.120
-101.504,398.208,616.832
-85.888,425.536,620.736
-70.272,413.824,628.544
-109.312,417.728,644.160
-89.792,409.920,616.832
-105.408,406.016,640.256
-93.696,402.112,644.160
-81.984,390.400,651.968
-85.888,394.304,655.872
-46.848,417.728,644.160
-89.792,402.112,663.680
-74.176,402.112,655.872
-70.272,398.208,663.680
-58.560,417.728,671.488
-74.176,421.632,667.584
-50.752,382.592,667.584
-50.752,402.112,679.296
-39.040,398.208,702.720
-31.232,402.112,706.624
-35.136,382.592,698.816
-31.232,390.400,710.528
-27.328,394.304,706.624
-35.136,394.304,714.432
7.808,394.304,698.816
-11.712,363.072,741.760
-11.712,382.592,726.144
19.520,390.400,726.144
3.904,378.688,753.472
11.712,402.112,749.568
27.328,409.920,765.184
35.136,378.688,769.088
39.040,390.400,741.760
46.848,382.592,761.280
66.368,363.072,772.992
62.464,386.496,749.568
35.136,394.304,784.704
58.560,394.304,765.184
66.368,390.400,792.512
46.848,402.112,757.376
93.696,394.304,765.184
50.752,386.496,772.992
54.656,386.496,788.608
78.080,402.112,792.512
74.176,366.976,780.800
66.368,394.304,815.936
62.464,386.496,780.800
81.984,402.112,765.184
62.464,406.016,769.088
85.888,390.400,780.800
85.888,386.496,780.800
81.984,409.920,749.568
97.600,382.592,784.704
93.696,398.208,769.088
97.600,386.496,741.760
85.888,398.208,757.376
93.696,394.304,733.952
93.696,402.112,722.240
93.696,366.976,706.624
74.176,386.496,718.336
78.080,425.536,710.528
66.368,394.304,694.912
78.080,417.728,702.720
62.464,425.536,702.720
62.464,406.016,655.872
58.560,390.400,679.296
58.560,413.824,648.064
50.752,409.920,663.680
62.464,421.632,651.968
66.368,417.728,659.776
39.040,425.536,675.392
62.464,417.728,648.064
58.560,425.536,644.160
50.752,417.728,659.776
62.464,437.248,651.968
31.232,433.344,675.392
58.560,413.824,651.968
58.560,437.248,663.680
27.328,433.344,671.488
39.040,433.344,687.104
46.848,441.152,663.680
39.040,445.056,694.912
19.520,448.960,667.584
11.712,448.960,675.392
7.808,468.480,675.392
0.000,441.152,679.296
0.000,456.768,675.392
23.424,484.096,667.584
-11.712,468.480,667.584
-27.328,499.712,691.008
35.136,464.576,671.488
-23.424,464.576,683.200
-15.616,488.000,671.488
0.000,484.096,648.064
-27.328,491.904,667.584
-15.616,499.712,663.680
-46.848,484.096,667.584
-46.848,503.616,640.256
-42.944,507.520,636.352
-62.464,519.232,644.160
-50.752,499.712,636.352
-46.848,503.616,628.544
-85.888,534.848,659.776
-81.984,523.136,612.928
-101.504,519.232,612.928
-124.928,523.136,628.544
-124.928,538.752,628.544
-109.312,523.136,644.160
-136.640,558.272,644.160
-144.448,581.696,628.544
-171.776,566.080,640.256
-156.160,562.176,648.064
-140.544,569.984,675.392
-179.584,589.504,702.720
-152.256,589.504,733.952
-156.160,605.120,726.144
-179.584,605.120,730.048
-191.296,585.600,753.472
-179.584,616.832,741.760
-163.968,605.120,776.896
-179.584,616.832,792.512
-206.912,632.448,800.320
-195.200,632.448,796.416
-187.392,640.256,788.608
-238.144,605.120,796.416
-222.528,609.024,804.224
-214.720,620.736,804.224
-203.008,648.064,796.416
-203.008,620.736,800.320
-234.240,632.448,792.512
-218.624,644.160,788.608
-203.008,609.024,800.320
-230.336,632.448,765.184
-222.528,624.640,788.608
-230.336,628.544,772.992
-230.336,636.352,757.376
-234.240,628.544,776.896
-245.952,628.544,749.568
-230.336,620.736,769.088
-226.432,640.256,753.472
-218.624,624.640,765.184
-226.432,616.832,710.528
-242.048,612.928,753.472
-210.816,597.312,730.048
-206.912,612.928,726.144
-203.008,605.120,698.816
-206.912,620.736,710.528
-199.104,601.216,694.912
