acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
0.131,-7.836,994.351,-157.214,283.793,411.408
0.160,-12.483,998.778,-203.581,305.866,605.908
-2.375,-6.175,1002.634,-206.089,397.174,312.546
0.212,-10.306,1000.350,-281.549,285.934,409.446
-1.437,-10.744,1000.682,-92.842,347.122,373.267
-1.245,-10.559,1001.824,-197.629,315.666,456.314
-4.801,-6.184,995.396,23.828,608.986,257.048
-0.742,-10.630,994.939,10.178,590.848,498.033
-3.105,-10.043,1002.477,67.518,518.992,261.806
-1.161,-9.307,1003.773,-0.437,387.630,528.600
-1.419,-5.124,995.590,50.595,504.491,192.015
-0.824,-11.622,999.381,-303.787,101.071,468.183
-4.314,-6.622,998.486,-101.950,403.847,282.503
-1.277,-13.109,1004.620,-468.323,50.036,551.214
-0.146,-5.731,988.650,148.109,727.519,129.443
1.228,-11.729,1003.341,31.685,121.898,603.867
-4.995,-3.779,1004.775,-800.478,57.603,55.631
-0.638,-8.979,1002.061,-2074.839,-1170.787,801.684
-28.728,5.739,1000.109,-1856.702,-611.052,-92.952
-3.327,-48.974,996.231,-10639.130,-7990.293,1314.664
6.940,1.213,1005.164,-16591.122,-11708.094,621.712
-3.125,-62.410,994.991,-17272.028,-11980.878,1675.331
12.538,-67.576,1003.393,-9218.742,-3007.099,-1693.044
46.835,161.004,1105.551,-11053.525,1867.597,3440.777
-49.403,-35.281,967.496,-19483.340,1809.503,21061.869
-23.902,-163.344,1039.629,-21666.633,1255.266,28412.820
-63.711,-75.156,941.020,-14771.743,1028.830,24910.574
-16.045,-69.018,1003.244,1861.290,-1227.815,16842.669
38.612,-45.817,950.497,4473.781,-1627.713,12010.204
-99.898,-121.511,1057.363,7230.113,-1901.136,15551.648
-30.622,-158.726,1067.280,3786.519,-2513.836,22679.543
188.425,-0.424,908.149,2480.828,-1364.051,22061.608
48.731,-57.081,1034.010,6284.034,-1486.861,10572.959
-3.775,-3.040,984.044,3241.519,-115.377,3106.906
19.531,-41.420,1015.152,5365.500,-904.089,4876.074
3.259,-21.746,984.141,5766.679,-1173.859,4961.140
38.372,-68.110,995.890,4638.295,-1499.549,6473.138
7.334,-22.865,1001.466,-10.081,256.928,1431.210
8.356,-45.179,1006.225,-2017.376,234.881,3318.297
13.301,-32.014,985.960,-1216.963,417.242,801.125
14.167,-42.990,1000.503,-701.537,139.569,1390.716
17.887,-31.007,988.904,4585.793,-614.441,3702.857
20.668,-20.412,1019.632,3584.219,-482.732,1686.253
12.345,-33.446,982.616,-689.592,410.608,57.624
10.921,-31.285,1003.982,-228.919,230.010,705.949
18.121,-36.692,1004.083,-6.105,311.134,176.915
7.702,-34.402,1003.541,-155.073,128.702,645.281
