acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
2.928,-41.480,1001.864,-350.000,280.000,490.000
2.440,-35.624,997.960,-280.000,350.000,490.000
5.368,-42.456,993.080,-210.000,280.000,490.000
10.248,-44.408,997.960,-210.000,280.000,490.000
5.856,-44.896,1001.864,-280.000,140.000,420.000
5.368,-40.992,994.544,-280.000,280.000,350.000
7.320,-40.504,999.912,-280.000,350.000,490.000
8.296,-45.384,996.984,-280.000,350.000,420.000
7.808,-46.848,1004.792,-210.000,210.000,420.000
10.248,-41.480,999.424,-210.000,280.000,490.000
6.344,-42.456,996.496,-140.000,420.000,490.000
13.176,-44.896,997.960,-210.000,350.000,350.000
7.808,-41.968,1001.376,-210.000,280.000,350.000
5.368,-40.992,996.496,-280.000,280.000,420.000
7.320,-45.384,998.448,-210.000,210.000,490.000
10.248,-41.480,996.984,-210.000,280.000,490.000
6.832,-43.920,996.496,-280.000,210.000,420.000
12.688,-42.944,1001.864,-280.000,280.000,420.000
7.320,-41.480,998.448,-280.000,350.000,560.000
11.224,-41.968,998.448,-210.000,280.000,490.000
6.344,-42.944,999.424,-280.000,210.000,490.000
12.200,-45.384,997.472,-350.000,280.000,350.000
7.808,-40.992,993.080,-350.000,280.000,420.000
3.904,-42.944,997.960,-280.000,280.000,490.000
9.272,-40.992,1000.888,-140.000,350.000,350.000
7.808,-46.360,999.424,-280.000,280.000,280.000
5.856,-41.480,997.960,-420.000,280.000,350.000
9.272,-43.920,998.448,-280.000,280.000,350.000
7.808,-44.408,998.448,-140.000,210.000,420.000
13.176,-40.016,1001.376,-210.000,210.000,420.000
4.880,-42.456,997.960,-280.000,140.000,420.000
8.784,-39.040,995.032,-350.000,210.000,490.000
11.712,-44.896,989.664,-210.000,280.000,350.000
9.272,-44.408,997.960,-210.000,280.000,350.000
2.440,-46.360,999.424,-210.000,280.000,350.000
6.832,-42.944,999.424,-350.000,210.000,420.000
9.272,-41.480,997.960,-350.000,350.000,350.000
11.224,-42.456,1003.328,-210.000,280.000,350.000
7.808,-40.016,1003.816,-280.000,280.000,420.000
4.880,-41.968,996.496,-350.000,210.000,280.000
8.784,-45.872,1000.888,-280.000,140.000,280.000
1.952,-45.384,1002.840,-210.000,350.000,420.000
7.808,-45.384,999.912,-280.000,280.000,420.000
9.760,-41.480,994.544,-350.000,280.000,490.000
6.832,-37.576,999.424,-210.000,420.000,490.000
8.296,-40.016,1001.864,-140.000,350.000,420.000
6.344,-43.920,1002.352,-350.000,210.000,420.000
6.344,-40.992,998.936,-280.000,280.000,420.000
7.808,-48.800,994.544,-280.000,280.000,490.000
9.272,-41.480,998.448,-210.000,210.000,420.000
8.296,-40.504,1000.888,-210.000,140.000,350.000
10.248,-46.360,1002.352,-280.000,210.000,420.000
11.712,-47.336,996.496,-280.000,350.000,420.000
10.736,-43.920,996.984,-140.000,350.000,420.000
7.808,-42.456,998.936,-140.000,280.000,420.000
7.320,-38.552,997.960,-280.000,140.000,420.000
10.736,-42.456,999.424,-280.000,140.000,350.000
6.344,-43.432,998.448,-350.000,280.000,420.000
8.784,-44.408,996.984,-280.000,350.000,490.000
8.296,-46.848,1002.352,-210.000,280.000,420.000
10.736,-43.432,999.424,-280.000,280.000,420.000
9.760,-46.360,1000.400,-210.000,210.000,420.000
6.344,-47.824,1003.816,-280.000,210.000,420.000
9.272,-41.968,997.472,-350.000,280.000,420.000
9.272,-39.528,1000.400,-280.000,280.000,420.000
7.808,-41.968,1000.400,-350.000,350.000,420.000
8.784,-40.504,998.936,-210.000,280.000,420.000
5.856,-45.384,1000.888,-210.000,280.000,420.000
7.808,-43.432,1000.888,-350.000,210.000,350.000
8.296,-44.896,998.936,-350.000,210.000,350.000
7.320,-43.920,997.960,-350.000,210.000,490.000
3.416,-40.992,997.960,-280.000,280.000,350.000
6.832,-42.456,999.424,-210.000,210.000,350.000
6.344,-43.432,995.520,-350.000,140.000,420.000
8.296,-47.824,997.960,-350.000,210.000,420.000
10.248,-43.432,1001.864,-350.000,280.000,420.000
12.688,-43.432,995.032,-350.000,140.000,420.000
5.856,-42.944,992.104,-490.000,140.000,490.000
7.320,-41.968,996.496,-420.000,210.000,490.000
8.296,-43.432,997.472,-210.000,280.000,490.000
9.760,-41.968,995.520,-210.000,140.000,350.000
10.736,-43.432,996.984,-280.000,140.000,420.000
11.712,-37.576,998.936,-280.000,280.000,280.000
9.760,-41.480,1001.376,-210.000,350.000,420.000
9.760,-43.432,998.936,-210.000,210.000,420.000
7.320,-47.824,1000.400,-350.000,210.000,420.000
6.832,-46.848,997.960,-280.000,280.000,420.000
6.344,-47.824,1001.376,-140.000,280.000,420.000
7.320,-41.968,1003.328,-210.000,210.000,350.000
10.248,-43.920,1003.328,-350.000,140.000,350.000
8.296,-45.384,996.008,-280.000,210.000,350.000
8.784,-42.944,998.936,-210.000,280.000,490.000
10.248,-46.360,1002.840,-210.000,140.000,350.000
8.784,-43.920,997.472,-210.000,210.000,350.000
7.320,-46.848,999.424,-280.000,280.000,420.000
7.808,-40.992,994.056,-280.000,280.000,420.000
10.736,-39.528,996.496,-140.000,140.000,560.000
4.392,-45.872,1001.376,-280.000,210.000,490.000
9.272,-44.408,996.984,-350.000,280.000,420.000
8.784,-45.872,996.008,-350.000,210.000,420.000
0.976,-41.480,996.008,-210.000,280.000,350.000
7.808,-41.968,1005.280,-210.000,210.000,350.000
9.272,-43.920,999.424,-350.000,210.000,420.000
12.200,-45.384,996.984,-280.000,350.000,490.000
12.688,-44.896,998.936,-280.000,210.000,350.000
9.760,-40.504,996.984,-210.000,210.000,560.000
5.856,-43.432,997.960,-280.000,280.000,420.000
9.272,-43.432,991.616,-350.000,140.000,350.000
9.272,-42.944,992.592,-350.000,70.000,490.000
7.320,-44.896,1001.864,-210.000,280.000,420.000
9.760,-43.432,1000.400,-140.000,140.000,420.000
8.784,-42.944,1001.864,-210.000,140.000,350.000
3.904,-39.528,996.496,-210.000,210.000,420.000
5.368,-43.432,996.008,-210.000,210.000,350.000
6.344,-42.944,999.912,-280.000,280.000,350.000
10.248,-45.872,998.448,-280.000,210.000,350.000
7.808,-43.432,999.424,-350.000,140.000,420.000
9.760,-43.432,1003.816,-210.000,280.000,420.000
7.320,-47.824,1001.864,-210.000,280.000,420.000
3.904,-44.896,999.424,-140.000,210.000,350.000
7.320,-41.480,996.984,-210.000,280.000,420.000
7.808,-46.848,999.912,-210.000,420.000,420.000
9.272,-44.408,995.520,-280.000,350.000,350.000
8.784,-43.432,996.496,-210.000,280.000,490.000
