acc_x[mg],acc_y[mg]
-989.542,-199.226
-984.845,-199.653
-985.150,-208.376
-893.284,-152.744
-938.607,-168.055
-948.977,-172.081
-862.052,-140.361
-964.593,-195.566
-1084.946,-316.956
-795.135,-258.335
-610.366,-228.628
-735.416,-258.030
-311.466,-205.753
147.986,-82.777
404.918,-81.435
615.063,62.891
646.661,160.796
752.618,204.777
666.364,258.274
849.059,323.178
722.606,391.864
689.178,509.289
776.957,513.437
623.176,505.141
605.364,462.441
437.004,533.811
487.268,706.746
460.916,385.703
317.261,527.467
334.280,526.003
421.510,594.140
409.066,635.437
408.151,611.464
425.414,576.145
347.151,545.523
434.503,550.525
355.508,485.804
378.993,485.194
411.018,481.229
344.223,425.048
355.325,427.793
383.812,448.472
334.585,446.215
237.046,460.428
254.919,499.102
265.350,365.512
264.435,265.411
239.242,126.087
149.938,-100.101
-25.132,-81.191
-119.316,-42.151
27.572,-293.288
1179.984,-687.409
83.509,-142.069
-114.375,-115.046
-116.754,68.625
89.731,241.865
122.000,21.716
55.998,4.941
36.966,-2.196
36.722,-1.891
36.417,-1.708
36.539,-2.196
36.844,-1.891
36.478,-1.708
36.600,-2.257
36.722,-1.891
36.600,-1.891
36.539,-1.952
36.661,-1.891
36.722,-1.647
36.600,-2.196
36.600,-2.074
36.539,-1.708
36.722,-1.952
36.356,-2.257
36.783,-1.769
36.600,-1.647
36.600,-2.196
36.722,-1.952
36.783,-1.769
36.417,-2.013
36.600,-2.013
36.783,-1.769
36.783,-2.013
36.539,-1.952
36.966,-1.891
36.722,-2.013
36.173,-1.891
37.576,-1.891
36.661,-2.013
36.600,-2.013
36.844,-1.586
37.271,-2.074
36.600,-2.196
36.600,-1.647
37.088,-2.074
37.149,-2.257
36.295,-1.830
36.783,-1.952
37.027,-2.196
36.661,-2.013
36.478,-1.830
37.210,-2.135
36.661,-2.074
