acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
-4.880,-10.248,1000.400,-280.000,280.000,420.000
-0.488,-3.904,999.424,-210.000,140.000,420.000
-3.416,-8.784,994.544,-210.000,280.000,420.000
-4.880,-9.272,1001.376,-210.000,350.000,420.000
5.368,-6.832,997.960,-210.000,280.000,420.000
-0.488,-10.248,1001.864,-350.000,280.000,420.000
-1.952,-5.368,1002.352,-280.000,350.000,350.000
-4.392,-7.320,996.984,-280.000,210.000,350.000
-1.952,-8.296,997.960,-350.000,140.000,420.000
0.976,-11.712,1001.864,-280.000,210.000,420.000
-2.928,-8.784,999.912,-210.000,350.000,490.000
0.976,-8.784,999.424,-280.000,210.000,420.000
-1.952,-7.320,999.912,-210.000,210.000,420.000
-1.952,-9.272,998.448,-210.000,140.000,420.000
0.488,-6.344,999.424,-210.000,280.000,490.000
-3.416,-10.248,999.424,-280.000,280.000,420.000
-3.904,-7.808,999.424,-280.000,280.000,420.000
2.440,-10.248,999.424,-350.000,210.000,350.000
-3.904,-8.784,1000.400,-280.000,210.000,420.000
-0.976,-8.784,996.984,-140.000,280.000,490.000
-0.488,-7.808,998.448,-280.000,140.000,420.000
-5.368,-6.832,1001.376,-280.000,140.000,420.000
-3.904,-5.368,999.424,-210.000,350.000,280.000
-4.880,-11.712,1001.376,-280.000,420.000,350.000
1.464,-9.760,997.472,-350.000,420.000,420.000
1.952,-15.128,995.032,-350.000,350.000,420.000
-1.952,-9.272,998.936,-280.000,210.000,420.000
-0.488,-4.880,1000.888,-210.000,350.000,420.000
-5.856,-8.296,998.936,-210.000,350.000,420.000
0.000,-6.832,1001.376,-210.000,420.000,420.000
-1.464,-6.832,1000.888,-350.000,210.000,490.000
-2.440,-12.688,996.984,-420.000,210.000,420.000
-1.952,-6.344,998.448,-210.000,210.000,420.000
-5.856,-12.688,997.472,-280.000,210.000,420.000
-5.368,-14.640,996.496,-210.000,280.000,420.000
-4.392,-8.296,998.936,-280.000,280.000,350.000
0.488,-8.296,997.960,-280.000,280.000,420.000
0.488,-10.248,998.936,-280.000,350.000,420.000
0.488,-11.224,1003.816,-280.000,210.000,350.000
0.000,-8.296,997.472,-210.000,280.000,350.000
-4.392,-6.344,1002.352,-210.000,280.000,420.000
-3.416,-10.736,996.984,-280.000,210.000,420.000
1.952,-5.856,1000.888,-140.000,140.000,420.000
-1.464,-7.808,999.912,-210.000,210.000,420.000
-2.928,-10.248,1006.744,-280.000,280.000,350.000
-0.976,-5.856,999.424,-350.000,350.000,350.000
-0.976,-5.368,997.960,-210.000,350.000,420.000
1.952,-11.224,1000.888,-280.000,210.000,490.000
0.488,-13.664,998.936,-210.000,280.000,420.000
1.464,-8.784,1002.840,-140.000,140.000,490.000
-1.464,-8.784,998.448,-210.000,280.000,420.000
-2.440,-8.784,998.448,-280.000,350.000,350.000
-5.368,-10.248,1001.864,-280.000,280.000,420.000
1.952,-9.272,1000.400,-210.000,210.000,490.000
2.440,-9.272,997.960,-280.000,280.000,490.000
-4.392,-8.784,996.496,-210.000,420.000,420.000
-3.416,-6.344,1004.792,-280.000,210.000,490.000
-1.464,-9.760,997.472,-350.000,210.000,490.000
-1.952,-13.176,997.960,-280.000,210.000,490.000
-3.904,-10.736,996.496,-280.000,210.000,420.000
1.464,-9.272,997.960,-350.000,140.000,490.000
-1.952,-4.880,1000.888,-280.000,280.000,490.000
0.976,-10.736,999.912,-280.000,350.000,420.000
-1.464,-7.808,996.008,-140.000,210.000,420.000
-5.368,-8.784,999.424,-140.000,280.000,490.000
-5.368,-7.320,1007.720,-210.000,280.000,420.000
